taxa	Rep	Phenols	Tannin	X_3Deoxy	Common_name
PI656053	1	3.288	2.516	9.182	N290B
PI655973	2	7.9	10.93	23.116	SPUR FETERITA
PI656029	2	4.018	2.462	10.464	BTx642
PI576401	2	2.853	-3.961	17.445	"Mehra, Sonthia"
PI656016	2	4.094	8.742	12.649	B KS66
PI329435	2	2.071	-1.423	3.21	Mashila
PI659691	2	2.191	-2.561	8.926	COMBINE HEGARI
PI329440	2	1.665	-10.243	29.175	Mashila
PI595699	2	1.977	-6.428	-15.344	SAP-340
PI642998	2	19.201	27.348	1.62	Black Spanish
PI533876	2	12.521	30.309	28.339	KA 12 Janjari
PI653616	2	11.93	9.762	7.185	WRAY
PI533948	2	0.525	-3.625	-11.292	Nebraska 6350
PI656099	2	1.837	-3.122	9.114	SC 498
PI655986	2	2.763	-2.812	25.442	CAPROCK
PI656068	1	-0.48	-7.128	2.28	SC 170-6-17
PI576393	2	15.591	24.857	26.133	MN 708 (preconverted)
PI656090	2	7.419	10.071	34.929	SC 1494
PI576437	2	9.614	18.515	20.469	SAP-155
PI533965	2	16.465	24.684	-21.089	SAP-148
PI576333	2	1.894	-3.316	-11.144	SAP-306
PI533927	2	17.187	33.723	-12.548	J.A.T.S. #67
PI656003	2	12.959	25.332	-13.111	B AZ9504
PI656063	2	5.852	9.778	29.231	BQL41
PI597966	2	9.134	18.462	-13.927	SAP-158
PI533769	2	3.904	-0.632	10.479	290 Feterita Shendi 2
PI655993	2	5.273	7.355	3.475	TX 399(DALHART RES WHTLND)B LN
PI655975	2	3.296	2.492	11.27	WHEATLAND
PI597957	2	2.754	-7.193	13.504	SAP-151
PI534108	2	7.121	10.534	-8.978	EC 21428 SB 63
PI655982	2	2.718	-0.127	12.774	SAP-380
PI656103	2	17.691	44.941	38.603	SC 610
PI656015	2	7.017	4.537	15.895	Ajabsido
PI656120	2	1.285	-3.5	22.494	SC 790
PI656102	2	10.775	25.996	28.383	SC 59
PI598070	2	8.926	20.244	12.901	RTx2910
PI656086	2	9.872	21.575	31.386	SC 1471
PI533943	1	-0.525	-7.206	11.109	AS 2613 NT
PI534114	2	10.596	22.395	2.499	Accho Karuho
PI533821	2	21.377	37.228	11.103	AS4660 Kikuma
PI534133	2	1.485	-8.241	19.838	"No. 69 Mashela Tinguish, Warakul Ethiopi"
PI533824	2	10.657	15.955	45.026	Bonkum
PI656001	2	1.777	-3.481	0.624	TX2783
PI656044	2	4.091	5.524	15.837	Kuyuma
PI656087	1	6.317	8.974	1.669	SC 1476
PI659753	2	1.231	-4.323	41.285	IS 5590C
PI533814	2	1.233	-5.124	-12.713	N.9 Cherukupatcha Jonna
PI534135	2	2.951	-4.513	-16.192	No. 64 Netch Addesho Ethiopia
PI576418	1	0.743	-11.304	11.904	SAP-147
PI534075	2	5.617	12.703	24.345	KA 24
PI533807	2	7.239	12.223	6.841	SAP-206
PI533856	1	0.309	-7.914	-15.014	Jola Nandyal
PI656115	2	-4.549	-19.096	100.108	SC 1440
PI642992	2	4.266	3.096	8.723	Standard Early Hegari
PI656033	1	1.224	0.552	11.037	60M
PI533902	2	0.643	-12.729	-10.953	"Orange No. l, Baijo"
PI585291	2	3.36	3.454	14.859	Tx2903
PI656075	2	1.851	-1.046	-26.417	SC 1251
PI576359	2	2.164	6.047	12.872	Butivori
PI533882	2	1.467	-6.02	23.628	KO 61 Baragwan Doki
PI656033	2	1.906	-2.02	3.891	60M
PI595743	2	9.601	26.119	4.359	SAP-154
PI576339	1	3.68	6.149	10.958	SAP-312
PI656091	2	2.188	-5.055	37.758	SC 22
PI533855	2	6.652	8.933	10.274	Chanan Singoo
PI329440	1	1.497	-7.024	2.078	Mashila
PI534099	2	4.261	-0.304	14.487	A 84
PI533831	2	2.694	1.946	23.913	Deburr
PI534163	2	8.831	23.268	9.487	Rexx
PI533964	2	1.151	-4.966	-0.071	"Safara, Kordafan"
PI576426	2	1.083	-10.212	36.206	SAP-128
PI655998	1	5.145	8.144	-2.251	KS19
PI533785	2	2.173	-6.369	-4.497	SO 16
PI656028	2	1.96	2.479	-9.516	Town
PI534144	1	32.458	63.947	1.139	Kabutuwa
PI656024	2	3.066	5.837	15.622	SEPON82
PI656005	2	5.034	8.138	1.005	01MN1589-B
PI576345	1	5.547	6.047	41.357	SAP-294
PI655991	2	3.782	3.404	6.673	TX 378 (REDLAN) B LINE
PI656071	2	6.36	5.991	38.713	SC 1019
PI533989	2	3.847	3.11	2.319	Nyithin
PI656090	1	4.926	4.437	58.129	SC 1494
PI533788	1	10.003	18.061	41.682	SAP-263
PI597960	1	2.964	4.161	10.43	SAP-137
PI641836	2	17.586	34.302	7.06	ROX ORANGE
PI656032	2	0.886	-0.06	-21.546	CE260-12-1-1
PI576425	2	15.388	29.617	1.579	SAP-150
PI533838	1	8.388	17.744	14.485	BA45 Faria Bonkum
PI576391	1	35.201	74.54	181.788	K.1 Irungu cholam
PI576399	1	8.781	13.273	29.462	SAP-224
PI595741	1	1.93	2.025	-14.589	SAP-134
PI533948	1	2.059	-1.19	4.103	Nebraska 6350
PI534088	1	2.203	-2.201	74.816	ZA 6
PI656041	1	1.978	-7.449	21.044	80M
PI656113	1	1.891	-3.525	-11.651	SC 1277
PI534167	1	7.914	12.203	38.14	F.R. Miller
PI533759	1	9.128	18.783	4.917	Mugbash 56/56
PI656114	1	2.093	1.193	29.829	SC 134
PI656101	1	9.487	15.591	38.371	SC 525
PI656007	1	2.742	5.696	12.636	R9188
PI542406	1	19.546	40.519	-8.939	R LINE AR2002
PI35038	1	19.811	34.341	-19.462	SUMAC
PI534116	1	12.397	23.331	-41.341	Mashica
PI656116	1	9.124	18.82	-2.651	SC 1506
PI533936	1	14.413	32.233	-4.324	1903 AS 4633
PI576350	1	11.329	21.258	-23.143	SAP-417
PI533839	1	0.854	-5.996	-0.421	K037 Camjin
