taxa	Rep	Phenols	Tannin	X_3Deoxy	Common_name
PI533976	2	9.368	18.455	34.881	Framiola DL/59/1539
PI534115	2	1.457	-2.389	-0.045	Akwu
PI533997	2	3.682	3.094	9.799	MN 1592 (preconverted)
PI534117	2	15.322	16.936	36.942	Mashica
PI597971	2	11.698	20.638	-3.842	SAP-170
PI533961	1	9.125	18.292	4.384	Wit Lichtenburg DL/59/1530
PI533866	2	2.328	-4.912	46.103	255 Tirter
PI656111	2	1.219	-3.096	3.047	SC 971
PI576130	2	1.961	-1.443	-5.9	ICSV 745
NA	NA	2.797	4.166	4.996	NA
PI597982	1	10.399	19.253	55.396	SAP-175
PI533961	2	8.697	21.208	-9.856	Wit Lichtenburg DL/59/1530
PI576340	2	0.895	-6.727	-17.343	Nkuli Swaziland
PI533776	2	5.097	6.604	6.047	KA 3
PI656073	2	6.296	12.269	12.958	SC 1074
PI656054	2	1.024	-4.679	6.789	N.Tenimissa
PI595740	2	15.234	31.926	17.64	SAP-133
PI576422	2	3.682	2.194	10.909	SAP-141
PI656046	2	11.46	25.718	31.389	LianTang Ai
PI656010	2	4.04	11.724	16.201	RTx2536
PI533852	2	3.095	2.439	25.03	Cholia Talijhari
PI655984	2	5.288	8.143	18.558	CHILTEX
NA	NA	2.075	0.632	7.347	NA
PI629059	2	3.799	7.36	-4.504	B.Tx2928
PI641874	1	3.419	-3.77	50.15	DAY MILO
PI534117	1	15.666	19.088	3.877	Mashica
PI656080	1	0.305	-11.689	-23.131	SC 1429
PI17548	1	19.612	38.754	18.081	RED AMBER
PI597966	1	7.467	13.14	-3.717	SAP-158
NA	NA	6.464	8.959	17.281	NA
PI656006	2	4.592	13.134	11.591	88V1080
PI656042	2	0.883	0.116	19.551	NSA440 - KARPER
PI656011	2	2.49	-2.149	0.174	90EON328
PI552856	2	2.272	-0.74	-8.191	A/BTx626
PI534101	2	6.789	14.258	-9.854	A-106
PI642793	2	6.622	10.576	15.434	BTx641
PI34911	2	5.542	3.592	20.638	F.C.I. 4201
PI655994	1	14.184	33.233	18.047	WILEY
PI656085	2	1.858	2.843	12.175	SC 1465
PI534047	2	12.192	25.171	51.184	450 Bori Light Brown
PI534097	2	2.949	1.702	14.691	HC 6028
PI533792	2	-0.084	-7.773	-1.135	No. 1 Gambela
PI533919	2	12.27	20.246	0.28	"R1,4"
PI656118	2	13.625	27.806	-1.76	SC 332
PI533843	2	3.87	1.117	24.991	SV 34
PI533987	2	8.631	13.438	12.921	Kireniga 317
PI656076	2	1.076	-0.414	1.13	SC 1271
PI597980	2	6.335	6.951	14.777	SAP-173
PI533754	2	7.404	15.638	-11.283	SAP-219
PI656121	2	11.577	27.063	32.663	SC 947
PI595739	2	2.006	-2.285	-3.987	SAP-131
PI595702	2	14.084	31.041	19.556	SAP-311
PI17548	2	14.81	32.226	13.986	RED AMBER
PI534053	2	5.767	5.305	13.445	T 28
PI656012	2	0.402	-9.468	30.075	90M
PI533949	2	7.238	11.687	4.299	Maja Abiad Q2/2/68
PI534046	2	8.51	17.333	17.817	420 Kalatilansa
PI533757	2	4.862	2.702	23.245	Monshal
PI533863	2	0.592	-7.49	-2.158	740 Oua Berr
PI576375	2	4.206	2.572	8.883	SAP-124
PI656089	2	1.264	-14.083	29.544	SC 1489
PI576380	2	0.497	-10.143	2.111	Mashica
PI597973	2	6.505	3.762	27.947	SAP-171
PI656002	2	3.5	3.368	11.563	BOK11
PI576381	2	2.419	-6.375	15.464	Mashica
PI534054	2	-2.124	-16.417	-40.881	194 Kano
PI656077	2	3.272	-1.044	23.178	SC 1416
PI655994	2	14.47	31.651	9.287	WILEY
PI656000	2	3.197	0.461	5.471	RTx432
PI534079	2	7.272	13.791	20.975	PL 47
PI655988	2	4.49	6.155	1.431	COMBINE KAFIR-60
PI534112	2	6.341	11.519	7.286	EC 21463 STR 5/1
PI576366	2	10.262	22.243	-11.174	Jowar Red Jankinagar
PI656098	2	6.052	9.86	23.181	SC 49
PI533970	2	6.362	7.155	10.323	2033Z-3
PI656083	2	4.418	3.49	29.101	SC 1451
PI576345	2	6.621	8.55	20.808	SAP-294
PI655985	2	2.77	-4.746	22.077	PLAINSMAN
PI533760	2	1.145	2.184	-3.832	Zera Zera White
PI659694	2	1.994	-1.681	-7.141	Tortillerio
PI656058	2	2.431	0.546	1.194	P9517
PI564163	2	3.158	3.646	13.539	BTx623
PI552861	2	3.439	5.807	-4.478	A/BTx631
PI655978	1	5.757	13.899	10.462	Tx2737
PI534097	1	2.64	2.673	12.217	HC 6028
PI533955	1	14.098	27.942	-23.822	P 3749 Q2/5/62
PI533762	1	5.833	9.489	14.811	Tambroro 7
PI534092	1	4.672	6.341	17.23	ZA 71
PI655991	1	3.804	4.882	-1.629	TX 378 (REDLAN) B LINE
PI533855	1	2.622	4.869	16.899	Chanan Singoo
PI656013	1	12.095	30.739	37.786	94Q63
PI595739	1	3.118	-1.027	2.146	SAP-131
PI533833	1	12.971	18.596	9.584	Sorghum Soroti
PI656086	1	9.924	20.182	33.564	SC 1471
PI534054	1	0.514	-8.647	-42.498	194 Kano
PI656093	1	3.397	6.059	16.467	SC 295
PI656060	1	0.595	-8.465	-17.296	QL3-TEXAS
PI564164	1	2.688	-4.233	23.832	RTX433
PI656016	1	3.122	1.861	17.23	B KS66
PI595744	1	1.521	-1.26	33.097	SAP-157
PI576387	1	1.272	-2.67	-17.807	Awanlek
PI597973	1	4.9	1.698	33.468	SAP-171
PI655984	1	5.3	2.436	5.162	CHILTEX
PI655985	1	2.311	-7.586	9.63	PLAINSMAN
PI534114	1	10.49	22.183	6.24	Accho Karuho
PI656065	1	6.424	7.903	21.842	Koro Kollo
PI597968	1	9.217	18.269	6.663	SAP-168
PI656079	1	2.302	3.098	-16.299	SC 1426
PI656091	1	3.781	1.713	35.979	SC 22
PI552861	1	2.338	3.358	-3.364	A/BTx631
PI595720	1	1.339	2.247	3.495	SAP-149
PI566819	1	16.313	31.936	22.33	DELLA
PI564165	1	3.82	2.132	27.824	RTX434
PI641836	1	18.253	38.857	13.117	ROX ORANGE
PI534009	1	6.089	12.589	28.584	Yerra Jonna Goda
PI533842	1	0.371	-3.886	-2.709	Nandyal
PI534133	1	3.172	-2.996	27.794	"No. 69 Mashela Tinguish, Warakul Ethiopi"
PI656054	1	-0.581	-7.752	53.209	N.Tenimissa
PI656066	1	0.324	-7.369	53.284	Lakahiri
PI533810	1	1.308	-4.351	26.123	Karad 2-7-11
PI656047	1	2.439	0.33	17.085	M35-1
PI656010	1	3.561	6.2	20.651	RTx2536
PI533856	2	0.751	-5.893	-9.721	Jola Nandyal
PI656061	1	2.319	0.629	19.95	QL3(India)
PI597950	1	3.163	-0.024	28.222	SAP-250
PI656103	1	15.94	44.201	34.619	SC 610
PI655978	2	2.248	4.868	7.762	Tx2737
PI642793	1	5.979	9.025	33.922	BTx641
PI656059	1	1.511	0.802	-2.638	Pinolero 1
PI576435	1	2.455	4.01	-1.798	Lula
PI576422	1	2.163	1.432	10.419	SAP-141
PI597964	2	7.752	11.438	10.585	SAP-166
PI534132	2	1.513	-3	69.105	"No. 59 Bekedjie, Kembolcha Ethiopia"
PI656034	1	1.576	-0.913	9.398	Dorado
PI34911	1	4.459	6.728	14.036	F.C.I. 4201
PI533761	1	8.685	14.183	0.588	SAP-230
PI656092	2	4.165	-4.65	52.297	SC 25
PI655986	1	3.254	-1.173	18.123	CAPROCK
PI656006	1	1.745	4.527	-3.762	88V1080
PI656051	1	4.688	7.136	18.055	MR732
PI651496	2	7.58	15.057	11.28	RIO
PI656009	1	0.801	-0.362	-9.9	RTAM428
PI533972	2	9.134	18.078	8.671	Dobbs
PI656040	1	2.167	-0.456	7.599	K886
PI533915	1	-1.961	-15.75	-9.047	No. 755 Muzeba
PI656011	1	2.468	3.046	5.735	90EON328
PI656099	1	-0.365	-8.858	0.99	SC 498
PI585295	1	2.973	3.42	22.904	Tx2907
PI576376	1	3.444	6.457	20.012	SAP-125
PI655996	2	1.816	0.923	6.207	RTx430
PI533831	1	4.092	8.336	33.883	Deburr
PI597957	1	3.214	-2.343	14.459	SAP-151
PI534101	1	7.002	15.872	0.011	A-106
PI576425	1	15.841	33.504	-0.158	SAP-150
PI533878	1	2.58	3.709	31.587	KA 21 Gajerar Kaura
PI533800	2	6.668	4.247	14.761	IS 12666C
PI533785	1	1.686	-9.63	7.317	SO 16
PI655997	1	1.893	2.71	34.073	R TX 431
PI533799	1	-0.177	-1.13	5.219	SAP-404
PI659753	1	-1.408	-11.441	33.617	IS 5590C
PI656076	1	0.79	-0.957	-5.079	SC 1271
PI565121	1	1.689	3.854	5.693	MACIA
PI533987	1	7.962	12.414	2.947	Kireniga 317
PI561472	1	2.027	-0.562	9.224	SURENO
PI595702	1	12.418	27.624	-5.27	SAP-311
PI651492	1	7.831	10.122	14.893	COWLEY
PI534112	1	8.624	17.034	-6.232	EC 21463 STR 5/1
PI576396	1	9.573	14.291	-13.607	SAP-225
PI534128	1	-0.307	-17.106	-19.572	"No. 65 Amelsie, Kimbolcha Ethiopia"
PI656075	1	1.063	2.157	-19.03	SC 1251
PI533824	1	17.53	32.873	28.64	Bonkum
PI656058	1	2.137	-3.816	7.163	P9517
PI576426	1	4.096	2.405	30.519	SAP-128
PI656118	1	13.625	31.373	-12.86	SC 332
PI656008	1	1.515	0.563	-12.912	RCV
PI533869	1	2.2	-6.25	10.632	Msumbji SB 117
PI655995	1	22.079	36.389	-14.805	DEER
PI656027	1	2.426	-0.804	4.014	SRN39
PI656046	1	11.721	31.549	11.213	LianTang Ai
PI533911	1	6.036	7.223	20.482	Kokla
PI655974	1	3.111	4.581	0.448	TEXAS BLACKHULL KAFIR
PI655982	1	3.724	4.65	33.008	SAP-380
PI656038	1	14.682	35.359	5.152	IS 8525(J)
PI642992	1	6.59	7.486	20.357	Standard Early Hegari
PI533970	1	6.69	5.92	25.79	2033Z-3
PI656014	1	16.383	27.893	-46.837	Acme Broomcorn
PI533972	1	8.111	15.297	5.896	Dobbs
PI534070	1	1.371	-11.24	-0.001	BE 25
PI597965	1	8.599	11.905	-5.383	SAP-395
PI629059	1	2.577	2.685	15.183	B.Tx2928
PI533843	1	3.007	1.527	24.262	SV 34
PI656074	1	15.64	35.311	26.04	SC 1218
PI656020	1	3.859	-1.809	15.092	BTx406
PI574455	1	0.138	-15.304	-11.277	BTx638
PI533877	1	3.667	-3.013	57.831	NA
PI655996	1	6.045	11.409	75.31	RTx430
PI656105	1	11.201	21.504	1.193	SC 639
PI533901	1	9.123	13.783	24.46	A-96
PI656070	1	3.231	-4.713	42.611	SC 748-5
PI533871	1	1.707	-13.276	27.983	M 1
PI656120	1	0.668	-7.096	4.26	SC 790
PI656002	1	3.147	0.467	12.72	BOK11
PI576394	1	2.47	-0.434	23.968	Lambas
PI656049	1	3.136	3.637	20.615	Marupantse
PI533939	1	10.923	21.967	10.075	AS 4055 N Kambwa
PI656056	1	-0.421	-7.118	-8.143	P850029
PI597949	1	2.019	-1.458	11.091	SAP-146
PI656069	1	2.169	-2.411	13.679	SC 326-6
PI534148	1	2.675	-2.258	55.23	"R1, 21"
PI534124	1	13.448	25.448	-17.554	"No. 28 Lyle, Marawa Ethiopia"
PI533989	1	2.372	4.638	-0.431	Nyithin
PI534163	1	8.559	17.431	12.437	Rexx
PI655988	1	3.271	6.491	0.36	COMBINE KAFIR-60
PI152651	1	4.612	9.172	30.724	Feterita Geshaish
PI656104	1	6.756	12.99	-5.661	SC 621
PI533822	1	2.382	2.761	10.735	AS4616 Balangira-Mwanza
PI534115	1	-0.004	-3.247	-11.983	Akwu
PI655975	1	4.203	4.119	38.377	WHEATLAND
PI576347	1	7.43	14.451	0.911	SAP-342
PI533919	1	11.748	18.062	-21.121	"R1,4"
PI533996	1	7.685	14.609	39.119	Hamaisi 38
PI533986	1	9.391	19.366	6.944	Huria White 621
PI534075	1	5.859	11.315	70.572	KA 24
PI656036	1	4.39	7.509	3.321	ICSV 1089BF
PI655997	2	4.414	6.263	48.668	R TX 431
PI564163	1	3.137	3.743	19.708	BTx623
PI641824	1	15.032	27.988	2.926	KANSAS ORANGE
PI655979	2	2.911	7.162	18.926	Tx2741
PI597949	2	3.815	-1.274	25.655	SAP-146
PI656025	1	12.537	31.885	19.987	Shan Qui Red
PI597972	1	7.114	4.788	18.164	SAP-398
PI656088	1	-2.134	-22.284	11.034	SC 1484
PI659695	1	3.246	-3.052	53.437	IS 12623C
PI533792	1	0.428	-5.847	4.791	No. 1 Gambela
PI656037	1	-0.612	-6.736	-8.438	ICSV 401
PI656082	2	13.795	20.993	37.997	SC 145
PI656022	1	4.458	7.047	2.897	BTx615
PI576375	1	3.365	3.307	1.451	SAP-124
PI533766	1	3.501	2.166	3.514	No. 4 Hadoui
PI655975	1	4.92	7.299	18.042	WHEATLAND
PI655979	1	0.57	-2.182	-8.118	Tx2741
PI576364	1	15.773	30.809	8.961	Chari Uri
PI656017	2	2.102	-3.189	38.948	100M
PI629040	1	1.457	-3.633	7.104	Tx2917
PI656026	1	0.436	3.001	-1.271	SOBERANO
PI533769	1	5.253	7.113	10.009	290 Feterita Shendi 2
PI656044	1	2.647	0.006	-5.261	Kuyuma
PI656008	2	2.51	4.391	1.124	RCV
PI659691	1	2.2	1.934	-2.985	COMBINE HEGARI
PI655977	1	6.837	9.239	15.439	TAM2566
PI534135	1	1.144	-8.202	-2.939	No. 64 Netch Addesho Ethiopia
PI597958	1	1.917	-1.218	17.321	SAP-197
PI656052	1	2.776	1.313	11.203	N250B
PI576428	1	3.516	1.102	4.497	Mashica
PI597971	1	10.137	19.365	6.683	SAP-170
PI656119	1	2.94	0.458	7.603	SC 386
PI533863	1	-0.384	-10.391	4.36	740 Oua Berr
PI533949	1	7.028	12.274	12.69	Maja Abiad Q2/2/68
PI656077	1	2.033	-8.145	31.883	SC 1416
PI655989	1	3.081	1.847	2.25	REDBINE-60
PI656057	1	6.142	9.959	33.587	P898012
PI656032	1	1.373	-6.543	-18.261	CE260-12-1-1
PI655990	1	3.092	-4.019	16.507	COMBINE 7078
PI656012	1	1.094	-2.347	41.014	90M
PI656047	2	2.428	-3.14	-1.046	M35-1
PI656048	1	4.144	4.405	11.546	Malisor 84-7
PI656062	1	2.034	0.305	10.013	96CD635
PI533794	1	0.466	-4.681	1.394	No. 5 Gambela
PI576380	1	2.212	-5.234	4.447	Mashica
PI655993	1	4.812	8.25	17.195	TX 399(DALHART RES WHTLND)B LN
PI542718	1	10.154	26.36	18.706	SAN CHI SAN
PI597945	1	1.601	-5.26	32.74	SAP-336
PI601816	1	1.703	2.61	16.037	ICSV 400
PI534099	1	4.183	-0.736	24.044	A 84
PI576352	1	8.836	18.3	8.536	Marupantse
PI533876	1	12.879	30.259	56.092	KA 12 Janjari
PI656055	1	0.635	-0.961	-7.319	P-721
PI533985	1	4.092	-2.794	11.589	Barking 119
PI533937	1	0.429	-8.378	-8.185	AS 4136 Masaka Luwemba
PI533956	1	9.325	13.831	15.76	MN 586 (preconverted)
PI576345	1	3.638	-0.188	14.252	SAP-294
PI607931	2	6.668	12.742	29.713	Tx2911
PI656027	2	1.66	-1.146	3.558	SRN39
PI641824	2	14.448	27.556	2.011	KANSAS ORANGE
PI656079	2	2.832	2.686	1.362	SC 1426
PI533979	2	3.376	2.246	17.249	Bulfontein White Kafir Corn DL/60/133
PI655976	2	4.832	8.957	24.083	RED KAFIR
PI533789	2	5.692	12.747	-8.068	Kodilib
PI655990	2	4.373	-4.365	5.45	COMBINE 7078
PI656062	2	1.637	-6.094	-22.398	96CD635
PI534124	2	12.302	24.074	1.432	"No. 28 Lyle, Marawa Ethiopia"
PI656049	2	3.103	4.337	15.454	Marupantse
PI533910	2	7.856	12.694	-1.781	Klor
PI533758	2	8.564	11.441	12.812	IS 18684
PI597946	2	7.763	13.42	-9.381	SAP-286
PI656031	1	1.405	-0.326	-0.583	CE151-262-A1
PI48770	1	7.31	11.07	17.985	WHITE KAFIR
PI534053	1	5.241	7.711	16.569	T 28
PI597952	1	5.262	4.296	23.781	SAP-323
PI533979	1	2.438	2.103	6.033	Bulfontein White Kafir Corn DL/60/133
PI576337	1	6.76	10.151	21.323	SAP-280
PI533957	2	16.377	33.451	49.983	MN 707 (preconverted)
PI656048	2	5.258	9.756	14.44	Malisor 84-7
PI576340	1	0.057	-11.542	-3.008	Nkuli Swaziland
PI656017	1	2.37	0.815	38.904	100M
PI533965	1	16.556	24.407	-10.732	SAP-148
PI656030	1	3.801	1.567	34.89	58M
PI533755	1	7.821	13.676	7.257	Feterita Gondal
PI561073	1	2.665	0.302	7.596	A/BTx635
PI533913	1	8.716	13.077	20.86	Nyan Dok
PI561071	1	3.305	4.566	46.648	RTx436
PI576401	1	2.718	-2.704	7.804	"Mehra, Sonthia"
