taxa	Rep	Phenols	Tannins	X_3Deoxy	Common_name
PI595743	2	9.269	18.11	26.953	SAP-154
PI656022	2	5.081	5.163	25.244	BTx615
PI656029	2	4.633	1.908	18.701	BTx642
PI534047	2	12.004	24.66	43.052	450 Bori Light Brown
PI533769	1	6.947	9.545	54.145	290 Feterita Shendi 2
PI533878	2	4.081	0	22.548	KA 21 Gajerar Kaura
PI597971	1	12.846	19.319	5.294	SAP-170
PI565121	1	7.703	4.919	38.147	MACIA
PI655984	1	8.23	12.138	1.41	CHILTEX
PI656089	1	4.051	0	58.805	SC 1489
PI597950	1	6.084	7.542	23.707	SAP-250
PI534124	1	13.6	17.688	0	"No. 28 Lyle, Marawa Ethiopia"
PI534028	2	0.398	0	27.253	Jonar Tamargundi
PI655985	2	2.459	0	33.49	PLAINSMAN
PI597960	2	3.418	1.821	16.723	SAP-137
PI533902	2	0	0	32.87	"Orange No. l, Baijo"
PI533863	2	1.548	0	5.037	NA
PI656077	2	3.409	0	21.468	SC 1416
PI533967	2	1.748	0	7.185	SB-283
PI533902	1	0	0	42.824	"Orange No. l, Baijo"
PI534115	2	3.952	3.218	61.598	Akwu
PI655990	2	3.748	0	30.545	COMBINE 7078
PI656000	1	2.601	0	19.316	RTx432
PI642793	1	3.469	0	46.46	BTx641
PI533956	2	8.548	0.765	17.069	MN 586 (preconverted)
PI656033	2	3.111	0	33.129	60M
PI576340	1	1.382	0	0	Nkuli Swaziland
PI534021	1	0.243	0	6.589	Jola Nandyal
PI533869	2	0.348	0	0	Msumbji SB 117
PI659694	1	1.505	0	1.509	Tortillerio
PI534079	1	6.183	5.982	9.267	PL 47
PI533762	1	4.954	6.322	26.442	Tambroro 7
PI651496	2	7.579	12.945	10.89	RIO
PI656046	2	13.585	27.422	17.822	LianTang Ai
PI597965	2	8.763	7.657	15.884	SAP-395
PI561073	2	3.777	2.9	5.093	A/BTx635
PI655979	2	1.399	0	20.587	Tx2741
PI576426	2	2.058	0	51.722	SAP-128
PI655997	1	0.763	0	22.967	R TX 431
PI534117	2	11.803	4.322	5.943	Mashica
PI576333	2	1.435	0	0	SAP-306
PI607931	2	8.248	9.968	44.207	Tx2911
PI576396	2	9.912	9.796	9.403	SAP-225
PI597964	2	6.223	0	8.516	SAP-166
PI533991	2	3.974	0	8.662	Sinidyil 177
PI659694	2	2.283	0	3.077	Tortillerio
PI533955	2	13.627	18.883	13.155	P 3749 Q2/5/62
PI656114	2	3.387	0	16.762	SC 134
PI548797	2	1.962	0	12.751	Tx2891
PI655982	2	4.702	0	46.692	SAP-380
PI656101	2	9.55	15.256	55.873	SC 525
PI595718	2	3.953	0	17.491	SAP-162
NA	NA	9.628	9.292	36.921	NA
PI655978	2	2.296	2.678	0	Tx2737
PI35038	2	16.009	19.923	0	SUMAC
PI656025	2	17.263	36.359	17.084	Shan Qui Red
PI533871	2	0.579	0	16.598	M 1
PI655998	2	2.286	1.764	28.6	KS19
PI656032	2	0	0	1.618	CE260-12-1-1
NA	NA	2.823	0	23.621	NA
PI655970	1	2.783	0	8.908	Standard Blackhull Kafir
PI534046	2	8.33	13.876	28.042	420 Kalatilansa
PI655981	2	7.393	10.65	1.431	SAP-50
PI533776	2	2.211	0	47.175	KA 3
PI656056	2	0	0	44.429	P850029
PI564165	1	4.132	0	15.966	RTX434
PI533954	2	0	0	3.83	P 3742
PI533833	2	13.52	13.046	17.321	Sorghum Soroti
PI656096	2	2.22	0.277	52.861	SC 391
PI655993	2	4.44	4.5	18.53	TX 399(DALHART RES WHTLND)B LN
PI656001	1	2.82	0	44.684	TX2783
PI656031	2	1.638	0	16.094	CE151-262-A1
PI534148	2	2.611	0	65.81	"R1, 21"
PI561472	2	3.731	0.102	15.861	SURENO
PI656089	2	1.466	0	27.449	SC 1489
PI656119	2	2.318	0	8.24	SC 386
PI597952	2	7.452	2.556	34.389	SAP-323
PI534137	1	2.201	0	0	Budy
PI656121	2	13.779	25.451	25.284	SC 947
PI24969	1	2.943	0	34.198	DWARF YELLOW MILO
PI655993	1	5.227	7.015	4.148	TX 399(DALHART RES WHTLND)B LN
PI564164	1	1.798	0	20.358	RTX433
PI656027	2	2.964	0	4.152	SRN39
PI576394	1	2.639	0	12.239	Lambas
PI534115	1	1.291	0	23.223	Akwu
PI655977	2	8.887	7.839	70.199	TAM2566
NA	NA	2.481	0	77.174	NA
PI653616	2	10.125	5.879	46.075	WRAY
PI613536	1	0	0	53.036	KS 115
PI34911	2	8.419	13.279	22.32	F.C.I. 4201
PI656053	2	4.243	5.717	3.489	N290B
PI656120	1	1.014	0	28.327	SC 790
PI629034	2	0.415	0	4.598	RTx437
PI656037	1	0.289	0	9.582	ICSV 401
PI655981	1	7.16	9.551	6.843	SAP-50
PI533821	1	18.271	26.272	46.638	AS4660 Kikuma
PI597968	1	7.409	11.313	0	SAP-168
PI576426	1	0.885	0	48.75	SAP-128
PI542718	1	10.974	21.157	17.14	SAN CHI SAN
PI576428	1	2.568	0	17.013	Mashica
PI576333	1	2.241	0	4.585	SAP-306
PI533794	1	0	0	0	No. 5 Gambela
PI656063	2	2.698	0	69.094	BQL41
PI655989	2	3.993	2.172	13.856	REDBINE-60
PI655989	2	10.162	22.422	9.232	REDBINE-60
PI656025	1	4.594	5.781	20.896	Shan Qui Red
PI656080	1	0	0	0	SC 1429
PI533986	1	7.108	10.804	24.262	Huria White 621
PI534157	1	1.252	0	9.681	"R4, B1"
PI533856	1	0.345	0	1.415	Jola Nandyal
PI576391	1	46.34	101.602	223.912	K.1 Irungu cholam
PI656069	1	0	0	26.325	SC 326-6
PI656094	1	8.288	8.094	26.816	SC 301
PI597949	1	4.167	3.319	18.641	SAP-146
PI595740	2	12.904	24.877	14.117	SAP-133
PI656058	1	4.367	5.444	7.297	P9517
PI576386	2	8.68	9.348	23.621	SAP-347
PI533869	1	0	0	5.312	Msumbji SB 117
PI656029	1	4.575	0	27.088	BTx642
PI656082	1	16.539	19.463	61.508	SC 145
PI576434	1	0.992	0	5.743	Ex-Mubi
PI533965	1	14.66	18.679	11.777	SAP-148
PI533752	2	11.362	15.969	18.843	54.K.94(Witchweed res.)
PI597971	2	12.413	15.297	15.821	SAP-170
PI533937	1	0	0	22.157	AS 4136 Masaka Luwemba
PI655983	2	15.11	22.836	2.93	SUGAR DRIP
PI533876	1	18.564	45.007	45.157	KA 12 Janjari
PI534114	2	10.67	18.805	8.52	Accho Karuho
PI656070	2	1.935	0	0	SC 748-5
PI656003	1	12.244	21.476	6.16	B AZ9504
PI656002	1	3.815	0.604	19.295	BOK11
PI533877	2	4.09	0	46.751	KA 15 Yazgar Giwa
PI576393	1	16.506	19.897	20.531	MN 708 (preconverted)
PI656038	1	12.204	25.024	0.426	IS 8525(J)
PI656068	1	0	0	8.386	SC 170-6-17
PI656073	1	11.451	26.097	7.399	SC 1074
PI576339	1	3.245	4.095	6.063	SAP-312
PI656032	1	1.832	0	2.839	CE260-12-1-1
PI656115	1	2.858	0	9.147	SC 1440
NA	NA	13.456	31.42	14.713	NA
PI656052	2	3.012	2.62	0	N250B
PI655992	1	4.144	5.081	0	TX 3197 (COMB KAFIR 60) B LINE
PI576394	2	2.78	0	25.849	Lambas
PI533807	1	7.933	9.042	14.257	SAP-206
PI656083	2	5.387	3.369	5.539	SC 1451
PI655996	2	2.155	0	17.296	RTx430
PI24969	2	3.078	0	40.397	DWARF YELLOW MILO
PI597966	2	9.596	16.785	0	SAP-158
PI655972	1	5.138	6.976	15.316	PINK KAFIR
PI533842	1	0	0	54.582	Nandyal
PI597966	1	9.865	15.232	7.872	SAP-158
