taxa	Rep	Phenols	Tannins	X_3Deoxy	Common_name
PI48770	2	9.474	13.798	36.989	WHITE KAFIR
PI533761	2	7.909	8	17.952	SAP-230
PI534108	1	9.786	15.616	0.709	EC 21428 SB 63
PI597957	2	2.444	0	56.089	SAP-151
PI595714	2	11.157	26.185	32.533	SAP-139
PI576401	2	5.123	0.88	19.973	"Mehra, Sonthia"
PI595744	1	1.816	0	36.468	SAP-157
PI656101	1	10.308	14.652	77.547	SC 525
PI533843	2	2.259	0.444	43.085	SV 34
PI576375	2	4.499	2.111	37.233	SAP-124
PI656019	2	4.829	5.878	18.946	BTx3042
PI656023	2	3.2	2.314	19.843	Segaolane
PI534157	2	1.555	0	16.929	"R4, B1"
PI656048	2	2.555	0.507	18.764	Malisor 84-7
PI656011	2	0.536	0	5.302	90EON328
PI534133	2	0.733	0	39.365	"No. 69 Mashela Tinguish, Warakul Ethiopi"
PI656041	2	3.675	0	47.195	80M
PI565121	2	1.013	0	21.571	MACIA
